Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,date,People_Tested,Mortality_Rate
Alabama,US,2021-01-02T05:30:44Z,32.3182,-86.9023,365747,4872,202137,158738,1,7459.375895463867,1885216,NA,1.3320683423240656,84000001,USA,38448.80419564018,NA,2021-01-01,NA,NA
Alaska,US,2021-01-02T05:30:44Z,61.3707,-152.4044,47019,206,7165,39615,2,6422.844801071706,1275750,NA,0.4384284680543141,84000002,USA,174391.1857780451,NA,2021-01-01,NA,NA
American Samoa,US,2021-01-02T05:30:44Z,-14.271,-170.132,0,0,NA,0,60,0,2140,NA,NA,16,ASM,3846.084721698028,NA,2021-01-01,NA,NA
Arizona,US,2021-01-02T05:30:44Z,33.7298,-111.4312,530267,9015,76934,444318,4,7285.171274003372,5155330,NA,1.7000869373353424,84000004,USA,39551.860582022906,NA,2021-01-01,NA,NA
Arkansas,US,2021-01-02T05:30:44Z,34.9697,-92.3731,229442,3711,199247,26484,5,7602.945718144717,2051488,NA,1.6174022192972517,84000005,USA,67979.49767446793,NA,2021-01-01,NA,NA
California,US,2021-01-02T05:30:44Z,36.1162,-119.6816,2365024,26504,NA,2309915,6,5912.603297465698,33058311,NA,1.1251600354592777,84000006,USA,83666.03670970372,NA,2021-01-01,NA,NA
Colorado,US,2021-01-02T05:30:44Z,39.0598,-105.3111,337161,4873,18102,314186,8,5854.774381044729,4444206,NA,1.4453035790023163,84000008,USA,77173.28941628858,NA,2021-01-01,NA,NA
Connecticut,US,2021-01-02T05:30:44Z,41.5978,-72.7554,185708,5995,9800,169913,9,5208.781228551867,4320693,NA,3.2281861847631768,84000009,USA,121187.80339422885,NA,2021-01-01,NA,NA
Delaware,US,2021-01-02T05:30:44Z,39.3185,-75.5071,58064,1065,18851,38283,10,5962.841099075341,984606,NA,1.6016809038302562,84000010,USA,101113.41146314713,NA,2021-01-01,NA,NA
Diamond Princess,US,2021-01-02T05:30:44Z,NA,NA,49,0,NA,49,88888,NA,NA,NA,0,84088888,USA,NA,NA,2021-01-01,NA,NA
District of Columbia,US,2021-01-02T05:30:44Z,38.8974,-77.0268,29252,788,20941,7523,11,4144.816358223675,904302,NA,2.6938329003145083,84000011,USA,128133.65658328953,NA,2021-01-01,NA,NA
Florida,US,2021-01-02T05:30:44Z,27.7663,-81.6868,1323315,21673,NA,1301642,12,6161.333477544677,15703599,NA,1.6377808760574768,84000012,USA,73115.70581202293,NA,2021-01-01,NA,NA
Georgia,US,2021-01-02T05:30:44Z,33.0406,-83.6431,677589,10958,NA,666631,13,6381.859326881861,5401054,NA,1.6172045295894708,84000013,USA,50869.726109621886,NA,2021-01-01,NA,NA
Grand Princess,US,2021-01-02T05:30:44Z,NA,NA,103,3,NA,100,99999,NA,NA,NA,2.9126213592233015,84099999,USA,NA,NA,2021-01-01,NA,NA
Guam,US,2021-01-02T05:30:44Z,13.4443,144.7937,7326,122,7047,157,66,4460.844308861407,96201,NA,1.6653016653016652,316,GUM,58577.35235555231,NA,2021-01-01,NA,NA
Hawaii,US,2021-01-02T05:30:44Z,21.0943,-157.4983,22397,289,11958,9775,15,1555.366586810107,816811,NA,1.3123240395967668,84000015,USA,57689.60753514442,NA,2021-01-01,NA,NA
Idaho,US,2021-01-02T05:30:44Z,44.2405,-114.4788,141077,1436,58649,80992,16,7894.34072067888,545485,NA,1.0178838506631132,84000016,USA,30524.071592247623,NA,2021-01-01,NA,NA
Illinois,US,2021-01-02T05:30:44Z,40.3495,-88.9861,963389,17978,NA,945411,17,7602.6089699341555,13374665,NA,1.866120539055356,84000017,USA,105546.51142878359,NA,2021-01-01,NA,NA
Indiana,US,2021-01-02T05:30:44Z,39.8494,-86.2583,517773,9468,345474,163928,18,7690.970837401457,5730043,NA,1.6167316565367449,84000018,USA,85113.7344165423,NA,2021-01-01,NA,NA
Iowa,US,2021-01-02T05:30:44Z,42.0115,-93.2105,282980,3898,241229,37853,19,8969.056154063142,1174406,NA,1.3774825075977102,84000019,USA,37222.81914505859,NA,2021-01-01,NA,NA
Kansas,US,2021-01-02T05:30:44Z,38.5266,-96.7265,230108,2872,4612,222819,20,7905.189759840511,1012506,NA,1.2470527956648416,84000020,USA,34754.441162195355,NA,2021-01-01,NA,NA
Kentucky,US,2021-01-02T05:30:44Z,37.6681,-84.6701,265261,2623,36740,225898,21,5937.341430315066,3148606,NA,0.9888374091932096,84000021,USA,70475.30112432133,NA,2021-01-01,NA,NA
Louisiana,US,2021-01-02T05:30:44Z,31.1695,-91.8678,315275,7488,263712,44075,22,6781.866436757577,4214182,NA,2.375069383871224,84000022,USA,90651.08068888405,NA,2021-01-01,NA,NA
Maine,US,2021-01-02T05:30:44Z,44.6939,-69.3819,24902,352,11374,13176,23,1852.535165584,1111413,NA,1.4135410810376676,84000023,USA,82681.37763983657,NA,2021-01-01,NA,NA
Maryland,US,2021-01-02T05:30:44Z,39.0639,-76.8021,280219,5942,9358,264919,24,4635.028648555663,5761534,NA,2.1204843354661893,84000024,USA,95300.01587910707,NA,2021-01-01,NA,NA
Massachusetts,US,2021-01-02T05:30:44Z,42.2302,-71.5301,375178,12423,261672,101083,25,5443.276557152025,10944699,NA,3.3112282703143574,84000025,USA,158791.3563476142,NA,2021-01-01,NA,NA
Michigan,US,2021-01-02T05:30:44Z,43.3266,-84.5361,528621,13018,318389,197214,26,5293.166809137249,8113075,NA,2.4626339097387357,84000026,USA,81237.52047315787,NA,2021-01-01,NA,NA
Minnesota,US,2021-01-02T05:30:44Z,45.6945,-93.9002,415302,5382,397080,12840,27,7363.9911256621,5351379,NA,1.2959244116329804,84000027,USA,94888.79770878667,NA,2021-01-01,NA,NA
Mississippi,US,2021-01-02T05:30:44Z,32.7416,-89.6787,218386,4816,167263,46307,28,7337.871860582249,1346044,NA,2.2052695685620867,84000028,USA,45227.70869334835,NA,2021-01-01,NA,NA
Missouri,US,2021-01-02T05:30:44Z,38.4561,-92.2884,445019,5747,397080,4684,29,6639.214341903481,3665980,NA,1.402042323861224,84000029,USA,59731.53575080637,NA,2021-01-01,NA,NA
Montana,US,2021-01-02T05:30:44Z,46.9219,-110.4544,81555,961,74991,5603,30,7630.677278162537,791589,NA,1.1783459015388391,84000030,USA,74064.86660466438,NA,2021-01-01,NA,NA
Nebraska,US,2021-01-02T05:30:44Z,41.1254,-98.2681,167716,1668,107694,58354,31,8670.146111885393,1755820,NA,0.994538386319731,84000031,USA,90767.82147302947,NA,2021-01-01,NA,NA
Nevada,US,2021-01-02T05:30:44Z,38.3135,-117.0554,227046,3143,NA,223903,32,7371.250027596005,2095778,NA,1.3843009786563076,84000032,USA,68041.29401238119,NA,2021-01-01,NA,NA
New Hampshire,US,2021-01-02T05:30:44Z,43.4525,-71.5639,45932,759,37350,5919,33,3238.0410248942608,1032929,NA,1.7239029708367402,84000033,USA,75966.80471070691,NA,2021-01-01,NA,NA
New Jersey,US,2021-01-02T05:30:44Z,40.2989,-74.521,535043,19160,56109,407592,34,5436.2831689031655,7792714,NA,3.968015640111751,84000034,USA,87734.15114966016,NA,2021-01-01,NA,NA
New Mexico,US,2021-01-02T05:30:44Z,34.8405,-106.2485,144142,2502,66638,75002,35,6874.284932152312,1983507,NA,1.7357883198512578,84000035,USA,94595.55357160741,NA,2021-01-01,NA,NA
New York,US,2021-01-02T05:30:44Z,42.1657,-74.9481,995816,38155,102968,854693,36,5118.939406517912,25504313,NA,3.8315311262321554,84000036,USA,131103.5701895401,NA,2021-01-01,NA,NA
North Carolina,US,2021-01-02T05:30:44Z,35.6301,-79.8064,539545,6748,403488,129309,37,5144.3619254002915,6944103,NA,1.2506834462371073,84000037,USA,66209.45255587198,NA,2021-01-01,NA,NA
North Dakota,US,2021-01-02T05:30:44Z,47.5289,-99.784,92770,1316,89314,2147,38,12173.550183580865,1277930,NA,1.4110164924005606,84000038,USA,167693.70471169017,NA,2021-01-01,NA,NA
Northern Mariana Islands,US,2021-01-02T05:30:44Z,15.0979,145.6739,122,2,29,91,69,221.23893805309731,17551,NA,1.639344262295082,580,MNP,31827.57870303206,NA,2021-01-01,NA,NA
Ohio,US,2021-01-02T05:30:44Z,40.3888,-82.7649,700380,13642,556106,135312,39,5991.735890701594,7752314,NA,1.279591079128473,84000039,USA,66320.88013619526,NA,2021-01-01,NA,NA
Oklahoma,US,2021-01-02T05:30:44Z,35.5653,-96.9289,291209,2489,255843,32604,40,7352.492601032456,2685254,NA,0.8555146148981221,84000040,USA,67861.35152367808,NA,2021-01-01,NA,NA
Oregon,US,2021-01-02T05:30:44Z,44.572,-122.0709,113909,1477,5870,106562,41,2700.713676552142,2652670,NA,1.2966490795283954,84000041,USA,62893.20552703974,NA,2021-01-01,NA,NA
Pennsylvania,US,2021-01-02T05:30:44Z,40.5908,-77.2098,652091,16155,429017,206919,42,5093.669429023879,7607664,NA,2.477414962022172,84000042,USA,30645.581713903983,NA,2021-01-01,NA,NA
Puerto Rico,US,2021-01-02T05:30:44Z,18.2208,-66.5901,77054,1521,66930,8603,72,2412.69201119456,383026,NA,1.973940353518312,630,PRI,11993.196593036153,NA,2021-01-01,NA,NA
Rhode Island,US,2021-01-02T05:30:44Z,41.6809,-71.5118,87949,1944,5381,80791,44,8302.080216281325,1974498,NA,2.020489147119353,84000044,USA,186385.75518638126,NA,2021-01-01,NA,NA
South Carolina,US,2021-01-02T05:30:44Z,33.8569,-80.945,307507,5296,151084,151127,45,5972.501094448051,3173021,NA,1.7222372173641576,84000045,USA,61627.44716447641,NA,2021-01-01,NA,NA
South Dakota,US,2021-01-02T05:30:44Z,44.2998,-99.4388,99164,1488,91980,5696,46,11209.290811487816,372640,NA,1.5005445524585534,84000046,USA,42122.444919454836,NA,2021-01-01,NA,NA
Tennessee,US,2021-01-02T05:30:44Z,35.7478,-86.6923,586802,6907,508914,70981,47,8592.576496074049,5644058,NA,1.1770580195704854,84000047,USA,82646.27610894085,NA,2021-01-01,NA,NA
Texas,US,2021-01-02T05:30:44Z,31.0545,-97.5635,1782956,28359,1435164,316178,48,6137.40620607458,13848790,NA,1.5876084165217368,84000048,USA,47761.232017747614,NA,2021-01-01,NA,NA
Utah,US,2021-01-02T05:30:44Z,40.15,-111.8624,276612,1269,224439,50904,49,8628.060629615236,2245303,NA,0.4587653464057959,84000049,USA,70035.32173534401,NA,2021-01-01,NA,NA
Vermont,US,2021-01-02T05:30:44Z,44.0459,-72.7107,7412,136,4959,2317,50,1187.8414523332942,697705,NA,1.834862385321101,84000050,USA,111813.66979225595,NA,2021-01-01,NA,NA
Virgin Islands,US,2021-01-02T05:30:44Z,18.3358,-64.8963,2036,23,1901,112,78,1898.0497445650146,36212,NA,1.1296660117878192,850,VIR,33758.4368124697,NA,2021-01-01,NA,NA
Virginia,US,2021-01-02T05:30:44Z,37.7693,-78.17,354766,5081,30964,318721,51,4156.349485016671,4291320,NA,1.4322116550063986,84000051,USA,50276.02890931413,NA,2021-01-01,NA,NA
Washington,US,2021-01-02T05:30:44Z,47.4009,-121.4905,246752,3461,NA,243291,53,3240.3869627583736,3836820,NA,1.402622876410323,84000053,USA,50385.73752776303,NA,2021-01-01,NA,NA
West Virginia,US,2021-01-02T05:30:44Z,38.4912,-80.9545,87820,1361,60316,26143,54,4900.2676677750205,1535487,NA,1.5497608745160556,84000054,USA,85678.63015701277,NA,2021-01-01,NA,NA
Wisconsin,US,2021-01-02T05:30:44Z,44.2685,-89.6165,522523,5254,450358,66911,55,8974.3052475992,5380828,NA,1.0055059777272959,84000055,USA,92415.44000327012,NA,2021-01-01,NA,NA
Wyoming,US,2021-01-02T05:30:44Z,42.756,-107.3025,44409,438,42570,1401,56,7673.142015934093,501784,NA,0.9862865635344188,84000056,USA,86699.99084247503,NA,2021-01-01,NA,NA
Alabama,US,2021-01-03T05:30:33Z,32.3182,-86.9023,369458,4872,202137,162449,1,7535.061393767521,1891468,NA,1.3186884571453321,84000001,USA,38576.31315155353,NA,2021-01-02,NA,NA
Alaska,US,2021-01-03T05:30:33Z,61.3707,-152.4044,47821,215,7165,40421,2,6534.252848423543,1290349,NA,0.4497813853266668,84000002,USA,176386.82514404444,NA,2021-01-02,NA,NA
American Samoa,US,2021-01-03T05:30:33Z,-14.271,-170.132,0,0,NA,0,60,0,2140,NA,NA,16,ASM,3846.084721698028,NA,2021-01-02,NA,NA
Arizona,US,2021-01-03T05:30:33Z,33.7298,-111.4312,539150,9061,77867,452222,4,7407.212012776427,5218721,NA,1.6806083650190111,84000004,USA,39916.14181455331,NA,2021-01-02,NA,NA
Arkansas,US,2021-01-03T05:30:33Z,34.9697,-92.3731,231442,3729,203701,24012,5,7669.219074532342,2079788,NA,1.6112028067507194,84000005,USA,68917.26566735281,NA,2021-01-02,NA,NA
California,US,2021-01-03T05:30:33Z,36.1162,-119.6816,2415246,26696,NA,2362015,6,6045.109129901398,33391442,NA,1.1112148464533191,84000006,USA,84509.14543583133,NA,2021-01-02,NA,NA
Colorado,US,2021-01-03T05:30:33Z,39.0598,-105.3111,339172,4912,18217,316043,8,5889.6952386773755,4474747,NA,1.4482327550623282,84000008,USA,77703.631491355045,NA,2021-01-02,NA,NA
Connecticut,US,2021-01-03T05:30:33Z,41.5978,-72.7554,190120,6099,9800,174221,9,5332.530031944132,4383361,NA,3.20797391121397,84000009,USA,122945.5300512974,NA,2021-01-02,NA,NA
Delaware,US,2021-01-03T05:30:33Z,39.3185,-75.5071,58873,1072,18851,39092,10,6045.920777518988,991318,NA,1.5796714962716356,84000010,USA,101802.69551965363,NA,2021-01-02,NA,NA
Diamond Princess,US,2021-01-03T05:30:33Z,NA,NA,49,0,NA,49,88888,NA,NA,NA,0,84088888,USA,NA,NA,2021-01-02,NA,NA
District of Columbia,US,2021-01-03T05:30:33Z,38.8974,-77.0268,29509,792,21002,7715,11,4181.231570997621,911378,NA,2.683926937544478,84000011,USA,129136.27932876984,NA,2021-01-02,NA,NA
Florida,US,2021-01-03T05:30:33Z,27.7663,-81.6868,1354833,21890,NA,1332943,12,6308.080781508778,15950750,NA,1.615697285200464,84000012,USA,74266.43691558379,NA,2021-01-02,NA,NA
Georgia,US,2021-01-03T05:30:33Z,33.0406,-83.6431,685122,10960,NA,674162,13,6452.808746529172,5436988,NA,1.5997150872399368,84000013,USA,51208.16981672483,NA,2021-01-02,NA,NA
Grand Princess,US,2021-01-03T05:30:33Z,NA,NA,103,3,NA,100,99999,NA,NA,NA,2.9126213592233015,84099999,USA,NA,NA,2021-01-02,NA,NA
Guam,US,2021-01-03T05:30:33Z,13.4443,144.7937,7326,122,7047,157,66,4460.844308861407,96201,NA,1.6653016653016652,316,GUM,58577.35235555231,NA,2021-01-02,NA,NA
Hawaii,US,2021-01-03T05:30:33Z,21.0943,-157.4983,22448,289,11958,9934,15,1566.596415495186,822805,NA,1.3029169108696632,84000015,USA,58112.95088821589,NA,2021-01-02,NA,NA
Idaho,US,2021-01-03T05:30:33Z,44.2405,-114.4788,142199,1448,58649,82102,16,7957.125230475668,545485,NA,1.018291267871082,84000016,USA,30524.071592247623,NA,2021-01-02,NA,NA
Illinois,US,2021-01-03T05:30:33Z,40.3495,-88.9861,975352,18217,NA,957138,17,7697.015290856776,13436652,NA,1.8674283745765632,84000017,USA,106035.68342703072,NA,2021-01-02,NA,NA
Indiana,US,2021-01-03T05:30:33Z,39.8494,-86.2583,523090,9562,347401,167279,18,7769.949254473155,5769273,NA,1.6077539237989638,84000018,USA,85696.45461622684,NA,2021-01-02,NA,NA
Iowa,US,2021-01-03T05:30:33Z,42.0115,-93.2105,283895,3946,243214,36735,19,8998.057095405173,1175920,NA,1.3899505098716074,84000019,USA,37270.805402098835,NA,2021-01-02,NA,NA
Kansas,US,2021-01-03T05:30:33Z,38.5266,-96.7265,230119,2872,4612,222830,20,7905.56733671688,1012506,NA,1.2469932353222122,84000020,USA,34754.441162195355,NA,2021-01-02,NA,NA
Kentucky,US,2021-01-03T05:30:33Z,37.6681,-84.6701,273970,2698,37273,233999,21,6132.275123985126,3210804,NA,0.9847793554038764,84000021,USA,71867.48000581062,NA,2021-01-02,NA,NA
Louisiana,US,2021-01-03T05:30:33Z,31.1695,-91.8678,315275,7488,263712,44075,22,6781.866436757577,4214182,NA,2.375069383871224,84000022,USA,90651.08068888405,NA,2021-01-02,NA,NA
Maine,US,2021-01-03T05:30:33Z,44.6939,-69.3819,25245,358,11438,13449,23,1878.0519739445858,1112457,NA,1.4181025945731829,84000023,USA,82759.04396032769,NA,2021-01-02,NA,NA
Maryland,US,2021-01-03T05:30:33Z,39.0639,-76.8021,283171,5967,9374,267830,24,4683.856902780167,5807666,NA,2.1072073058328717,84000024,USA,96063.07313652064,NA,2021-01-02,NA,NA
Massachusetts,US,2021-01-03T05:30:33Z,42.2302,-71.5301,384181,12502,261672,110007,25,5573.896739689486,11046093,NA,3.2541952881584466,84000025,USA,160262.43296520872,NA,2021-01-02,NA,NA
Michigan,US,2021-01-03T05:30:33Z,43.3266,-84.5361,538121,13306,363611,161204,26,5388.291831954738,8122575,NA,2.4726780779787445,84000026,USA,81332.64549597536,NA,2021-01-02,NA,NA
Minnesota,US,2021-01-03T05:30:33Z,45.6945,-93.9002,417832,5436,398199,14197,27,7408.852208796601,5387936,NA,1.3010013593980356,84000027,USA,95537.01376260012,NA,2021-01-02,NA,NA
Mississippi,US,2021-01-03T05:30:33Z,32.7416,-89.6787,220277,4840,167263,48174,28,7401.410346054582,1347935,NA,2.197233483296032,84000028,USA,45291.24717882068,NA,2021-01-02,NA,NA
Missouri,US,2021-01-03T05:30:33Z,38.4561,-92.2884,448387,5751,NA,404588,29,6685.292275526491,3679665,NA,1.3933537246682346,84000029,USA,59954.511889996924,NA,2021-01-02,NA,NA
Montana,US,2021-01-03T05:30:33Z,46.9219,-110.4544,81944,971,75974,4999,30,7667.073985430089,792779,NA,1.1849555794200917,84000030,USA,74176.20871687104,NA,2021-01-02,NA,NA
Nebraska,US,2021-01-03T05:30:33Z,41.1254,-98.2681,168262,1669,109705,56888,31,8698.371801605452,1766104,NA,0.9919054807383724,84000031,USA,91299.456991493,NA,2021-01-02,NA,NA
Nevada,US,2021-01-03T05:30:33Z,38.3135,-117.0554,228871,3148,NA,225723,32,7482.315830756624,2111559,NA,1.3659222361552847,84000032,USA,68553.6381923513,NA,2021-01-02,NA,NA
New Hampshire,US,2021-01-03T05:30:33Z,43.4525,-71.5639,46614,769,37947,6490,33,3324.677082115244,1032929,NA,1.7011016236782728,84000033,USA,75966.80471070691,NA,2021-01-02,NA,NA
New Jersey,US,2021-01-03T05:30:33Z,40.2989,-74.521,541202,19187,56575,412610,34,5498.32867794992,7798225,NA,3.928767415003317,84000034,USA,87796.19665870692,NA,2021-01-02,NA,NA
New Mexico,US,2021-01-03T05:30:33Z,34.8405,-106.2485,145379,2534,67573,75272,35,6933.27877475941,1995329,NA,1.7430302863549756,84000035,USA,95159.35729618392,NA,2021-01-02,NA,NA
New York,US,2021-01-03T05:30:33Z,42.1657,-74.9481,1011665,38273,103828,869564,36,5200.410351606063,25706759,NA,3.783169329768253,84000036,USA,132144.2331303765,NA,2021-01-02,NA,NA
North Carolina,US,2021-01-03T05:30:33Z,35.6301,-79.8064,558437,6892,403488,148057,37,5324.490154731789,7079384,NA,1.2341589113901836,84000037,USA,67499.30683240143,NA,2021-01-02,NA,NA
North Dakota,US,2021-01-03T05:30:33Z,47.5289,-99.784,92891,1317,89582,1999,38,12189.428156764148,1290077,NA,1.410255030089029,84000038,USA,169287.66950720546,NA,2021-01-02,NA,NA
Northern Mariana Islands,US,2021-01-03T05:30:33Z,15.0979,145.6739,122,2,29,91,69,221.23893805309731,17551,NA,1.639344262295082,580,MNP,31827.57870303206,NA,2021-01-02,NA,NA
Ohio,US,2021-01-03T05:30:33Z,40.3888,-82.7649,714673,13794,573641,132015,39,6114.012199399441,7819008,NA,1.261695908478423,84000039,USA,66891.44587692808,NA,2021-01-02,NA,NA
Oklahoma,US,2021-01-03T05:30:33Z,35.5653,-96.9289,296343,2527,259841,33687,40,7481.8592302041125,2690373,NA,0.8535576159835165,84000040,USA,67990.71815284975,NA,2021-01-02,NA,NA
Oregon,US,2021-01-03T05:30:33Z,44.572,-122.0709,116348,1492,5870,108986,41,2758.540895271564,2652670,NA,1.282359817100423,84000041,USA,62893.20552703974,NA,2021-01-02,NA,NA
Pennsylvania,US,2021-01-03T05:30:33Z,40.5908,-77.2098,660580,16179,453531,190870,42,5159.979437570209,7675010,NA,2.4492112991613437,84000042,USA,30829.584371616005,NA,2021-01-02,NA,NA
Puerto Rico,US,2021-01-03T05:30:33Z,18.2208,-66.5901,77932,1526,68340,8066,72,2440.1836869781514,383904,NA,1.9581173330595905,630,PRI,12020.688268819742,NA,2021-01-02,NA,NA
Rhode Island,US,2021-01-03T05:30:33Z,41.6809,-71.5118,87949,1957,5381,80791,44,8302.080216281325,1974498,NA,2.020489147119353,84000044,USA,186385.75518638126,NA,2021-01-02,NA,NA
South Carolina,US,2021-01-03T05:30:33Z,33.8569,-80.945,312718,5385,152535,154798,45,6073.710833423647,3204255,NA,1.7219987336833824,84000045,USA,62234.08408390911,NA,2021-01-02,NA,NA
South Dakota,US,2021-01-03T05:30:33Z,44.2998,-99.4388,99829,1501,92595,5733,46,11284.461018313272,373946,NA,1.5035711065922728,84000046,USA,42270.07242338573,NA,2021-01-02,NA,NA
Tennessee,US,2021-01-03T05:30:33Z,35.7478,-86.6923,604132,6970,523089,74073,47,8846.340714118574,5718900,NA,1.1537213721504571,84000047,USA,83742.1919546932,NA,2021-01-02,NA,NA
Texas,US,2021-01-03T05:30:33Z,31.0545,-97.5635,1801181,28442,1443061,322054,48,6185.199201224477,14005637,NA,1.580080437011731,84000048,USA,48302.160572393026,NA,2021-01-02,NA,NA
Utah,US,2021-01-03T05:30:33Z,40.15,-111.8624,281654,1294,230287,50073,49,8785.330313123253,2268187,NA,0.4594289447336094,84000049,USA,70749.11773641451,NA,2021-01-02,NA,NA
Vermont,US,2021-01-03T05:30:33Z,44.0459,-72.7107,7689,139,5188,2362,50,1232.2332605222207,708246,NA,1.807777344258031,84000050,USA,113502.96239196525,NA,2021-01-02,NA,NA
Virgin Islands,US,2021-01-03T05:30:33Z,18.3358,-64.8963,2041,23,1901,117,78,1902.7109669239665,36212,NA,1.1268985791278785,850,VIR,33758.4368124697,NA,2021-01-02,NA,NA
Virginia,US,2021-01-03T05:30:33Z,37.7693,-78.17,358755,5117,31182,322456,51,4203.083608624151,4337939,NA,1.4263215843681618,84000051,USA,50822.205421837854,NA,2021-01-02,NA,NA
Washington,US,2021-01-03T05:30:33Z,47.4009,-121.4905,246752,3461,NA,243291,53,3240.3869627583736,3836820,NA,1.402622876410323,84000053,USA,50385.73752776303,NA,2021-01-02,NA,NA
West Virginia,US,2021-01-03T05:30:33Z,38.4912,-80.9545,89327,1373,61120,26834,54,4984.3567519851895,1552160,NA,1.5370492684182837,84000054,USA,86608.96678676472,NA,2021-01-02,NA,NA
Wisconsin,US,2021-01-03T05:30:33Z,44.2685,-89.6165,523652,5256,452502,65894,55,8993.695763661726,5402674,NA,1.0037200278047254,84000055,USA,92790.64391283783,NA,2021-01-02,NA,NA
Wyoming,US,2021-01-03T05:30:33Z,42.756,-107.3025,44573,438,43037,1098,56,7701.478508325573,501784,NA,0.9826576627106096,84000056,USA,86699.99084247503,NA,2021-01-02,NA,NA
Alabama,US,2021-01-04T05:30:45Z,32.3182,-86.9023,371934,4873,202137,164924,1,7585.559182449775,1900070,NA,1.3101786876166202,84000001,USA,38751.750137920564,NA,2021-01-03,NA,NA
Alaska,US,2021-01-04T05:30:45Z,61.3707,-152.4044,48118,215,7165,40718,2,6574.851854636421,1293837,NA,0.4470040334317435,84000002,USA,176863.6242473122,NA,2021-01-03,NA,NA
American Samoa,US,2021-01-04T05:30:45Z,-14.271,-170.132,0,0,NA,0,60,0,2140,NA,NA,16,ASM,3846.084721698028,NA,2021-01-03,NA,NA
Arizona,US,2021-01-04T05:30:45Z,33.7298,-111.4312,556384,9061,78690,468633,4,7643.984509907446,5257472,NA,1.6285515039972394,84000004,USA,40154.97511443294,NA,2021-01-03,NA,NA
Arkansas,US,2021-01-04T05:30:45Z,34.9697,-92.3731,233475,3749,203701,26025,5,7736.585941300363,2079788,NA,1.605739372523825,84000005,USA,68917.26566735281,NA,2021-01-03,NA,NA
California,US,2021-01-04T05:30:45Z,36.1162,-119.6816,2452262,26788,NA,2400292,6,6142.225913231964,33812786,NA,1.0976006724545002,84000006,USA,85575.50912789695,NA,2021-01-03,NA,NA
Colorado,US,2021-01-04T05:30:45Z,39.0598,-105.3111,341250,4934,18305,318011,8,5925.779546067053,4502496,NA,1.4458608058608058,84000008,USA,78185.49070490469,NA,2021-01-03,NA,NA
Connecticut,US,2021-01-04T05:30:45Z,41.5978,-72.7554,190120,6099,9800,174221,9,5332.530031944132,4383361,NA,3.20797391121397,84000009,USA,122945.5300512974,NA,2021-01-03,NA,NA
Delaware,US,2021-01-04T05:30:45Z,39.3185,-75.5071,59484,1080,18851,39703,10,6108.666987072843,996096,NA,1.5634456324389752,84000010,USA,102293.36882447902,NA,2021-01-03,NA,NA
Diamond Princess,US,2021-01-04T05:30:45Z,NA,NA,49,0,NA,49,88888,NA,NA,NA,0,84088888,USA,NA,NA,2021-01-03,NA,NA
District of Columbia,US,2021-01-04T05:30:45Z,38.8974,-77.0268,29764,794,21072,7898,11,4217.363396901731,918000,NA,2.667652197285311,84000011,USA,130074.5732547974,NA,2021-01-03,NA,NA
Florida,US,2021-01-04T05:30:45Z,27.7663,-81.6868,1365436,21987,NA,1343449,12,6357.448179945587,16020601,NA,1.6102548929426206,84000012,USA,74591.6620545265,NA,2021-01-03,NA,NA
Georgia,US,2021-01-04T05:30:45Z,33.0406,-83.6431,690900,10964,NA,679936,13,6507.228731491625,5462241,NA,1.586915617310754,84000013,USA,51446.014725042034,NA,2021-01-03,NA,NA
Grand Princess,US,2021-01-04T05:30:45Z,NA,NA,103,3,NA,100,99999,NA,NA,NA,2.9126213592233015,84099999,USA,NA,NA,2021-01-03,NA,NA
Guam,US,2021-01-04T05:30:45Z,13.4443,144.7937,7326,122,7047,157,66,4460.844308861407,96202,NA,1.6653016653016652,316,GUM,58577.96126140938,NA,2021-01-03,NA,NA
Hawaii,US,2021-01-04T05:30:45Z,21.0943,-157.4983,22560,289,11958,10056,15,1575.2130136057494,825956,NA,1.2957898040622338,84000015,USA,58335.499254169874,NA,2021-01-03,NA,NA
Idaho,US,2021-01-04T05:30:45Z,44.2405,-114.4788,142507,1448,60164,80895,16,7974.3601939492955,548008,NA,1.0160904376627111,84000016,USA,30665.252802779974,NA,2021-01-03,NA,NA
Illinois,US,2021-01-04T05:30:45Z,40.3495,-88.9861,979821,18322,NA,961499,17,7732.282518826615,13482117,NA,1.8699333857918947,84000017,USA,106394.47163908012,NA,2021-01-03,NA,NA
Indiana,US,2021-01-04T05:30:45Z,39.8494,-86.2583,526071,9625,348425,169171,18,7814.228859756346,5792697,NA,1.6109992757631575,84000018,USA,86044.39338648965,NA,2021-01-03,NA,NA
Iowa,US,2021-01-04T05:30:45Z,42.0115,-93.2105,284715,3946,244021,36748,19,9024.04701005049,1178096,NA,1.3859473508596316,84000019,USA,37339.77376096252,NA,2021-01-03,NA,NA
Kansas,US,2021-01-04T05:30:45Z,38.5266,-96.7265,230119,2872,4612,222830,20,7905.56733671688,1012506,NA,1.2469932353222122,84000020,USA,34754.441162195355,NA,2021-01-03,NA,NA
